INFO:WDM:====== WebDriver manager ======
INFO:WDM:Get LATEST chromedriver version for google-chrome
INFO:WDM:Get LATEST chromedriver version for google-chrome
INFO:WDM:Driver [C:\Users\Mogz\.wdm\drivers\chromedriver\win64\145.0.7632.76\chromedriver-win32/chromedriver.exe] found in cache
INFO:root:Scraping CSJ...
ERROR:root:Error scraping CSJ: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
INFO:root:Scraping Corte Constitucional...
ERROR:root:Error scraping Corte Constitucional: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
INFO:root:Scraping CE...
INFO:root:New doc: 11001032600020240016700 - https://sacsjsamai1.blob.core.windows.net/1100103/11001032600020240016700/146_Autoquedispon_272223VF_0_20260210155839568.pdf?sv=2026-02-06&spr=https&se=2026-02-15T20%3A32%3A32Z&sr=b&sp=r&rscd=attachment%3B+filename%3D146_Autoquedispon_272223VF_0_20260210155839568.pdf&rsct=application%2Fpdf&sig=9APXQ19OFxwVI5DtCvd7XX80wRJOW9ti7gmhrwq7Tsk%3D
INFO:root:New doc: 25000233600020230008901 - https://sacsjsamai1.blob.core.windows.net/1100103/25000233600020230008901/3_Autoquerechaz_73508Rechazaapelacio_0_20260209095037751.pdf?sv=2026-02-06&spr=https&se=2026-02-15T20%3A32%3A33Z&sr=b&sp=r&rscd=attachment%3B+filename%3D3_Autoquerechaz_73508Rechazaapelacio_0_20260209095037751.pdf&rsct=application%2Fpdf&sig=KT9Ggcw%2BJZNNi%2BBt2YxXscSG1MzpkgO%2FbwIfEIRAryA%3D
INFO:root:New doc: 11001032600020250016800 - https://sacsjsamai1.blob.core.windows.net/1100103/11001032600020250016800/5_Autoqueadmite_73837Fundacionparael_0_20260206113811919.pdf?sv=2026-02-06&spr=https&se=2026-02-15T20%3A32%3A34Z&sr=b&sp=r&rscd=attachment%3B+filename%3D5_Autoqueadmite_73837Fundacionparael_0_20260206113811919.pdf&rsct=application%2Fpdf&sig=3SDtALNyC9I6U1zXKPYdNjqemBueyBloW9ouYI9nMJE%3D
INFO:root:New doc: 70001233300020200024302 - https://sacsjsamai1.blob.core.windows.net/1100103/70001233300020200024302/3_Autoqueadmite_73498LiliaInesUribeG_0_20260206120127775.pdf?sv=2026-02-06&spr=https&se=2026-02-15T20%3A32%3A35Z&sr=b&sp=r&rscd=attachment%3B+filename%3D3_Autoqueadmite_73498LiliaInesUribeG_0_20260206120127775.pdf&rsct=application%2Fpdf&sig=rkV0AKc2yIaJMTYi82QI6VC1LastSxb%2BByaIVYdGEAU%3D
INFO:root:New doc: 11001032800020260001100 - https://sacsjsamai1.blob.core.windows.net/1100103/11001032800020260001100/12_Autoqueinadmi_2026011Inadmisoriogo_0_20260205100132848.pdf?sv=2026-02-06&spr=https&se=2026-02-15T20%3A32%3A36Z&sr=b&sp=r&rscd=attachment%3B+filename%3D12_Autoqueinadmi_2026011Inadmisoriogo_0_20260205100132848.pdf&rsct=application%2Fpdf&sig=dbpO03FU4x0%2FeaO4pinb%2BhfjNFA86myyGEyxS6rYeC4%3D
